client,sqkm_id,latitude,longitude,income
Mex1,806,19.57974199,-99.10691248,18420.96242
Mex2,304,19.39280329,-99.09500918,8529.971811
Mex3,905,19.61895978,-99.08555239,170830.2516
Mex4,606,19.50649582,-99.18281331,50958.51227
Mex5,815,19.57707982,-99.0232139,46331.48947
Mex6,792,19.56919408,-99.01625485,7499.742108
Mex7,291,19.39411532,-99.21916172,1714206.123
Mex8,385,19.42528979,-99.23727145,44479.18993
Mex9,184,19.34318229,-99.0942906,32967.7226
Mex10,635,19.51582599,-99.134649,255847.2489
Mex11,78,19.310814,-99.18723495,31535.73838
Mex12,847,19.59530094,-99.17717563,41084.9315
Mex13,71,19.29918265,-99.02185191,29471.2309
Mex14,493,19.46654249,-99.12493296,61381.99662
Mex15,793,19.58337505,-99.23893198,17224.17906
Mex16,907,19.61195155,-99.06285733,3697.730319
Mex17,504,19.46152637,-99.01571725,7176.819527
Mex18,64,19.30663784,-99.09168281,25373.94831
Mex19,644,19.51266361,-99.05540042,4970.5011
Mex20,671,19.52889646,-99.02231697,67458.35241
Mex21,127,19.32821187,-99.18144241,3565.308361
Mex22,491,19.462265,-99.14185483,9574.318806
Mex23,323,19.39717225,-99.14338539,65069.70331
Mex24,454,19.44139853,-99.0315383,9974.41558
Mex25,227,19.3668861,-99.13523888,10911.95646
Mex26,834,19.59037076,-99.0760105,24535.82225
Mex27,174,19.3443295,-99.18388526,76748.20874
Mex28,188,19.34821061,-99.05771375,77905.7836
Mex29,808,19.58316848,-99.09037434,5382.036385
Mex30,55,19.29796804,-99.17714336,39170.82657
Mex31,497,19.46009413,-99.08219982,231033.5812
Mex32,11,19.28540211,-99.13730407,241162.437
Mex33,260,19.37518913,-99.05045718,3513.499502
Mex34,288,19.38736011,-99.01197353,13674.68762
Mex35,890,19.6115517,-99.23027215,2974.706315
Mex36,441,19.44317548,-99.1549774,3843.841088
Mex37,193,19.35241621,-99.23858865,49643.17171
Mex38,682,19.53770587,-99.1446081,12404.92959
Mex39,84,19.31316387,-99.1268912,760702.3745
Mex40,751,19.56081697,-99.17660189,656567.5228
Mex41,731,19.54973802,-99.13490123,136909.343
Mex42,656,19.52619572,-99.16867929,57040.65729
Mex43,619,19.51213205,-99.06450013,7723.489018
Mex45,598,19.498864,-99.03390028,21703.10795
Mex46,671,19.52311736,-99.02891142,1858593.577
Mex47,73,19.31117219,-99.23437095,31047.19749
Mex48,848,19.59684718,-99.16364698,1573.107853
Mex49,357,19.40823124,-99.04068982,41726.38368
Mex50,364,19.42228626,-99.21086317,501251.0348
Mex51,874,19.60387169,-99.14876009,12014.87696
Mex52,777,19.57218279,-99.16055212,233682.5928
Mex53,121,19.32537966,-99.23963155,481470.2707
